Date,State,Cases
2020-03-13,Berlin,174
2020-03-13,Brandenburg,44
2020-03-13,Bremen,42
2020-03-13,Hamburg,99
2020-03-13,Hessen,148
2020-03-13,Mecklenburg-Vorpommern,33
2020-03-13,Niedersachsen,230
2020-03-13,Nordrhein-Westfalen,936
2020-03-13,Rheinland-Pfalz,102
2020-03-13,Saarland,40
2020-03-13,Sachsen,83
2020-03-13,Sachsen-Anhalt,42
2020-03-13,Schleswig-Holstein,48
2020-03-13,Thüringen,29
2020-03-14,Baden-Württemberg,569
2020-03-14,Bayern,681
2020-03-14,Berlin,216
2020-03-14,Brandenburg,61
2020-03-14,Bremen,50
2020-03-14,Hamburg,158
2020-03-14,Hessen,203
2020-03-14,Mecklenburg-Vorpommern,45
2020-03-14,Niedersachsen,253
2020-03-14,Nordrhein-Westfalen,1154
2020-03-14,Rheinland-Pfalz,121
2020-03-14,Saarland,40
2020-03-14,Sachsen,93
2020-03-14,Sachsen-Anhalt,45
2020-03-14,Schleswig-Holstein,60
2020-03-14,Thüringen,46
2020-03-15,Baden-Württemberg,827
2020-03-15,Bayern,886
2020-03-15,Berlin,265
2020-03-15,Brandenburg,84
2020-03-15,Bremen,53
2020-03-15,Hamburg,162
2020-03-15,Hessen,286
2020-03-15,Mecklenburg-Vorpommern,50
2020-03-15,Niedersachsen,287
2020-03-15,Nordrhein-Westfalen,1407
2020-03-15,Rheinland-Pfalz,168
2020-03-15,Saarland,32
2020-03-15,Sachsen,130
2020-03-15,Sachsen-Anhalt,47
2020-03-15,Schleswig-Holstein,103
2020-03-15,Thüringen,51
2020-03-16,Baden-Württemberg,1105
2020-03-16,Bayern,1067
2020-03-16,Berlin,300
2020-03-16,Brandenburg,94
2020-03-16,Bremen,56
2020-03-16,Hamburg,260
2020-03-16,Hessen,342
2020-03-16,Mecklenburg-Vorpommern,51
2020-03-16,Niedersachsen,391
2020-03-16,Nordrhein-Westfalen,1541
2020-03-16,Rheinland-Pfalz,325
2020-03-16,Saarland,85
2020-03-16,Sachsen,140
2020-03-16,Sachsen-Anhalt,77
2020-03-16,Schleswig-Holstein,123
2020-03-16,Thüringen,55
2020-03-17,Baden-Württemberg,1479
2020-03-17,Bayern,1109
2020-03-17,Berlin,345
2020-03-17,Brandenburg,73
2020-03-17,Bremen,57
2020-03-17,Hamburg,310
2020-03-17,Hessen,373
2020-03-17,Mecklenburg-Vorpommern,45
2020-03-17,Niedersachsen,325
2020-03-17,Nordrhein-Westfalen,2105
2020-03-17,Rheinland-Pfalz,442
2020-03-17,Saarland,75
2020-03-17,Sachsen,182
2020-03-17,Sachsen-Anhalt,58
2020-03-17,Schleswig-Holstein,127
2020-03-17,Thüringen,51
2020-03-18,Baden-Württemberg,1609
2020-03-18,Bayern,1243
2020-03-18,Berlin,391
2020-03-18,Brandenburg,92
2020-03-18,Bremen,69
2020-03-18,Hamburg,358
2020-03-18,Hessen,432
2020-03-18,Mecklenburg-Vorpommern,56
2020-03-18,Niedersachsen,478
2020-03-18,Nordrhein-Westfalen,2372
2020-03-18,Rheinland-Pfalz,474
2020-03-18,Saarland,88
2020-03-18,Sachsen,198
2020-03-18,Sachsen-Anhalt,105
2020-03-18,Schleswig-Holstein,159
2020-03-18,Thüringen,74
2020-03-19,Baden-Württemberg,2155
2020-03-19,Bayern,1692
2020-03-19,Berlin,573
2020-03-19,Brandenburg,134
2020-03-19,Bremen,80
2020-03-19,Hamburg,432
2020-03-19,Hessen,682
2020-03-19,Mecklenburg-Vorpommern,98
2020-03-19,Niedersachsen,669
2020-03-19,Nordrhein-Westfalen,3033
2020-03-19,Rheinland-Pfalz,637
2020-03-19,Saarland,99
2020-03-19,Sachsen,275
2020-03-19,Sachsen-Anhalt,140
2020-03-19,Schleswig-Holstein,202
2020-03-19,Thüringen,98
2020-03-20,Baden-Württemberg,2746
2020-03-20,Bayern,2401
2020-03-20,Berlin,731
2020-03-20,Brandenburg,192
2020-03-20,Bremen,121
2020-03-20,Hamburg,586
2020-03-20,Hessen,813
2020-03-20,Mecklenburg-Vorpommern,131
2020-03-20,Niedersachsen,803
2020-03-20,Nordrhein-Westfalen,3497
2020-03-20,Rheinland-Pfalz,801
2020-03-20,Saarland,146
2020-03-20,Sachsen,394
2020-03-20,Sachsen-Anhalt,180
2020-03-20,Schleswig-Holstein,266
2020-03-20,Thüringen,149
